Var1,Var2,div,fun,var1bot,var2bot,Distance,group
C1B11F3,C1B7F2,0.500331898,0.471379402,C1B11,C1B7,644,Downstream
C1B11F1,C1B7F2,0.491750978,0.397956985,C1B11,C1B7,644,Downstream
C1B11F1,C1B7F1,0.424921107,0.39484619,C1B11,C1B7,644,Downstream
C1B11F2,C1B7F3,0.434620952,0.393275688,C1B11,C1B7,644,Downstream
C1B11F1,C1B7F3,0.431904797,0.391665021,C1B11,C1B7,644,Downstream
C1B11F2,C1B7F1,0.440606073,0.366203394,C1B11,C1B7,644,Downstream
C1B11F2,C1B7F2,0.49718477,0.350986256,C1B11,C1B7,644,Downstream
C1B7F3,C2B3F3,0.448628378,0.699225197,C1B7,C2B3,785,Downstream
C1B7F2,C2B3F3,0.506459073,0.674298044,C1B7,C2B3,785,Downstream
C1B7F1,C2B3F3,0.469924729,0.658798997,C1B7,C2B3,785,Downstream
C1B7F3,C2B3F1,0.423849024,0.52918183,C1B7,C2B3,785,Downstream
C1B7F3,C2B3F2,0.432439087,0.516774613,C1B7,C2B3,785,Downstream
C1B7F2,C2B3F1,0.486856678,0.469893477,C1B7,C2B3,785,Downstream
C1B7F1,C2B3F1,0.425282912,0.453966191,C1B7,C2B3,785,Downstream
C1B7F2,C2B3F2,0.498176782,0.448830951,C1B7,C2B3,785,Downstream
C1B7F1,C2B3F2,0.45768768,0.428401302,C1B7,C2B3,785,Downstream
C1B8F2,C2B4F3,0.472792724,0.670523875,C1B8,C2B4,791,Downstream
C1B8F3,C2B4F3,0.479381772,0.670255286,C1B8,C2B4,791,Downstream
C1B8F1,C2B4F3,0.495390048,0.654686934,C1B8,C2B4,791,Downstream
C1B8F2,C2B4F1,0.461949461,0.637443521,C1B8,C2B4,791,Downstream
C1B8F3,C2B4F1,0.465506804,0.631557645,C1B8,C2B4,791,Downstream
C1B8F2,C2B4F2,0.436628702,0.61283011,C1B8,C2B4,791,Downstream
C1B8F3,C2B4F2,0.452614116,0.595084295,C1B8,C2B4,791,Downstream
C1B8F1,C2B4F1,0.47064222,0.594830795,C1B8,C2B4,791,Downstream
C1B8F1,C2B4F2,0.465019603,0.577865297,C1B8,C2B4,791,Downstream
C1B7F3,C2B4F3,0.482041349,0.650850027,C1B7,C2B4,981,Downstream
C1B7F1,C2B4F3,0.401896252,0.638797492,C1B7,C2B4,981,Downstream
C1B7F3,C2B4F1,0.470040501,0.633277665,C1B7,C2B4,981,Downstream
C1B7F2,C2B4F3,0.524612416,0.619692103,C1B7,C2B4,981,Downstream
C1B7F3,C2B4F2,0.452051959,0.601051434,C1B7,C2B4,981,Downstream
C1B7F1,C2B4F1,0.450517772,0.587739088,C1B7,C2B4,981,Downstream
C1B7F2,C2B4F1,0.517357197,0.57509334,C1B7,C2B4,981,Downstream
C1B7F1,C2B4F2,0.405864333,0.568625398,C1B7,C2B4,981,Downstream
C1B7F2,C2B4F2,0.498897452,0.550838902,C1B7,C2B4,981,Downstream
C1B8F3,C2B5F1,0.409003185,0.486233825,C1B8,C2B5,986,Downstream
C1B8F3,C2B5F2,0.414659192,0.474017991,C1B8,C2B5,986,Downstream
C1B8F2,C2B5F1,0.384999034,0.465273828,C1B8,C2B5,986,Downstream
C1B8F3,C2B5F3,0.433184525,0.445109869,C1B8,C2B5,986,Downstream
C1B8F2,C2B5F2,0.399139646,0.443246394,C1B8,C2B5,986,Downstream
C1B8F2,C2B5F3,0.416819343,0.414708658,C1B8,C2B5,986,Downstream
C1B8F1,C2B5F1,0.417363207,0.40531209,C1B8,C2B5,986,Downstream
C1B8F1,C2B5F2,0.429947409,0.377787443,C1B8,C2B5,986,Downstream
C1B8F1,C2B5F3,0.436157127,0.353389465,C1B8,C2B5,986,Downstream
C1B7F3,C2B5F1,0.403572765,0.492189755,C1B7,C2B5,1176,Downstream
C1B7F3,C2B5F2,0.420174282,0.489775344,C1B7,C2B5,1176,Downstream
C1B7F3,C2B5F3,0.433283577,0.469847167,C1B7,C2B5,1176,Downstream
C1B7F2,C2B5F2,0.479331776,0.432774643,C1B7,C2B5,1176,Downstream
C1B7F1,C2B5F1,0.42349601,0.431896064,C1B7,C2B5,1176,Downstream
C1B7F2,C2B5F1,0.474495194,0.428831406,C1B7,C2B5,1176,Downstream
C1B7F1,C2B5F2,0.425452146,0.424861851,C1B7,C2B5,1176,Downstream
C1B7F2,C2B5F3,0.488304124,0.415334049,C1B7,C2B5,1176,Downstream
C1B7F1,C2B5F3,0.457227055,0.41412103,C1B7,C2B5,1176,Downstream
