ASVID,C1B1F1,C1B1F2,C1B1F3,C1B2F1,C1B2F2,C1B2F3,C1B3F1,C1B3F2,C1B3F3,C1B4F1,C1B4F2,C1B4F3,C1B5F1,C1B5F2,C1B5F3,C1B6F1,C1B6F2,C1B6F3,C1B7F1,C1B7F2,C1B7F3,C1B8F1,C1B8F2,C1B8F3,C1B9F1,C1B9F2,C1B10F1,C1B10F2,C1B10F3,C1B11F1,C1B11F2,C1B11F3,C1B12F1,C1B12F2,C1B12F3,C2B1F1,C2B1F2,C2B1F3,C2B2F1,C2B2F2,C2B2F3,C2B3F1,C2B3F2,C2B3F3,C2B4F1,C2B4F2,C2B4F3,C2B5F1,C2B5F2,C2B5F3
ASV704,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,420,80,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV705,2,0,0,0,14,23,13,4,0,1,25,18,29,0,3,33,0,0,1,0,0,0,18,0,2,80,30,78,0,1,35,14,20,1,0,8,21,0,3,0,1,0,49,2,0,0,0,0,2,9
ASV706,49,12,0,0,77,4,0,7,11,10,26,9,0,31,6,0,0,8,43,19,24,3,18,6,7,10,6,21,0,1,5,74,21,19,1,47,30,14,26,0,7,5,10,2,2,2,0,9,0,20
ASV707,11,29,0,0,0,14,12,0,0,0,2,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,15,29,4,5,0,0,2,20,9,0,19,0,81,16,46
ASV708,0,18,0,1,0,6,6,5,25,0,0,8,1,0,0,0,0,1,0,83,0,0,0,0,0,40,34,19,0,0,0,30,0,0,1,9,50,1,0,0,18,0,0,21,0,0,0,2,34,0
ASV709,10,8,0,26,0,1,0,0,68,0,0,0,0,46,11,0,1,0,0,0,0,4,0,0,0,26,16,0,0,13,0,0,161,0,0,0,15,0,0,0,2,25,0,1,0,0,0,0,0,32
ASV710,9,7,2,15,3,11,0,9,2,1,0,3,2,0,9,55,4,5,3,0,0,0,37,0,11,0,1,23,0,6,0,1,0,0,0,17,5,2,27,8,31,17,30,22,19,8,8,15,13,37
ASV711,6,0,0,6,0,43,0,0,0,1,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,32,60,4,0,0,0,0,0,11,0,126,26,0,0,0,2,0,0,0,0,0,3,2,0
ASV712,11,81,0,88,1,0,16,0,0,36,0,0,0,6,44,0,0,0,0,1,45,0,21,0,0,0,0,0,0,0,0,0,37,73,5,12,43,0,0,0,1,0,21,0,5,0,9,12,0,0
ASV713,48,116,0,0,0,0,0,0,0,0,4,0,0,10,0,0,46,0,0,0,0,0,1,0,0,0,0,0,0,53,0,0,158,0,0,0,25,3,0,0,0,0,0,0,0,0,0,19,53,0
ASV714,16,0,0,0,8,15,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,40,63,32,1,6,18,73,37,10,19,0,38,58,101
ASV715,3,8,0,14,8,0,0,1,15,1,1,7,0,2,16,5,29,25,0,0,4,5,28,87,2,3,0,0,3,6,1,2,10,1,0,6,4,7,4,3,0,22,10,10,18,18,0,7,12,1
